Fecha,Verdura,Ciudad,Precio,Codigo,CodNum,Cierre,15Abril,Dia
02/01/2020,Cebolla,Bogotá,800,BOG,2,0,0,1
02/01/2020,Cebolla,Manizales,975,MAN,5,1,0,1
02/01/2020,Cebolla,Medellín,1212,MED,1,1,0,1
02/01/2020,Cebolla,B/manga,800,BGA,3,0,0,1
02/01/2020,Cebolla,Cali,972,CAL,4,0,0,1
02/01/2020,Tomate,Bogotá,1591,BOG,2,0,0,1
02/01/2020,Tomate,Manizales,1364,MAN,5,1,0,1
02/01/2020,Tomate,Medellín,1750,MED,1,1,0,1
02/01/2020,Tomate,B/manga,1318,BGA,3,0,0,1
02/01/2020,Tomate,Cali,1136,CAL,4,0,0,1
03/01/2020,Cebolla,B/manga,800,BGA,3,0,0,2
03/01/2020,Cebolla,Bogotá,800,BOG,2,0,0,2
03/01/2020,Cebolla,Cali,972,CAL,4,0,0,2
03/01/2020,Cebolla,Manizales,1364,MAN,5,1,0,2
03/01/2020,Cebolla,Medellín,1212,MED,1,1,0,2
03/01/2020,Tomate,B/manga,1318,BGA,3,0,0,2
03/01/2020,Tomate,Bogotá,1318,BOG,2,0,0,2
03/01/2020,Tomate,Cali,1136,CAL,4,0,0,2
03/01/2020,Tomate,Manizales,1364,MAN,5,1,0,2
03/01/2020,Tomate,Medellín,1200,MED,1,1,0,2
04/01/2020,Cebolla,B/manga,800,BGA,3,0,0,3
04/01/2020,Cebolla,Bogotá,800,BOG,2,0,0,3
04/01/2020,Cebolla,Cali,972,CAL,4,0,0,3
04/01/2020,Cebolla,Manizales,1364,MAN,5,1,0,3
04/01/2020,Cebolla,Medellín,1212,MED,1,1,0,3
04/01/2020,Tomate,B/manga,1318,BGA,3,0,0,3
04/01/2020,Tomate,Bogotá,1318,BOG,2,0,0,3
04/01/2020,Tomate,Cali,1136,CAL,4,0,0,3
04/01/2020,Tomate,Manizales,1364,MAN,5,1,0,3
04/01/2020,Tomate,Medellín,1200,MED,1,1,0,3
05/01/2020,Cebolla,B/manga,800,BGA,3,0,0,4
05/01/2020,Cebolla,Bogotá,800,BOG,2,0,0,4
05/01/2020,Cebolla,Cali,972,CAL,4,0,0,4
05/01/2020,Cebolla,Manizales,1364,MAN,5,1,0,4
05/01/2020,Cebolla,Medellín,1212,MED,1,1,0,4
05/01/2020,Tomate,B/manga,1318,BGA,3,0,0,4
05/01/2020,Tomate,Bogotá,1318,BOG,2,0,0,4
05/01/2020,Tomate,Cali,1136,CAL,4,0,0,4
05/01/2020,Tomate,Manizales,1364,MAN,5,1,0,4
05/01/2020,Tomate,Medellín,1200,MED,1,1,0,4
06/01/2020,Cebolla,B/manga,800,BGA,3,0,0,5
06/01/2020,Cebolla,Bogotá,800,BOG,2,0,0,5
06/01/2020,Cebolla,Cali,972,CAL,4,0,0,5
06/01/2020,Cebolla,Manizales,1364,MAN,5,1,0,5
06/01/2020,Cebolla,Medellín,1212,MED,1,1,0,5
06/01/2020,Tomate,B/manga,1318,BGA,3,0,0,5
06/01/2020,Tomate,Bogotá,1318,BOG,2,0,0,5
06/01/2020,Tomate,Cali,1136,CAL,4,0,0,5
06/01/2020,Tomate,Manizales,1364,MAN,5,1,0,5
06/01/2020,Tomate,Medellín,1200,MED,1,1,0,5
07/01/2020,Cebolla,B/manga,870,BGA,3,0,0,6
07/01/2020,Cebolla,Bogotá,900,BOG,2,0,0,6
07/01/2020,Cebolla,Cali,972,CAL,4,0,0,6
07/01/2020,Cebolla,Manizales,1075,MAN,5,1,0,6
07/01/2020,Cebolla,Medellín,1212,MED,1,1,0,6
07/01/2020,Tomate,B/manga,1136,BGA,3,0,0,6
07/01/2020,Tomate,Bogotá,1466,BOG,2,0,0,6
07/01/2020,Tomate,Cali,1136,CAL,4,0,0,6
07/01/2020,Tomate,Manizales,1364,MAN,5,1,0,6
07/01/2020,Tomate,Medellín,1575,MED,1,1,0,6
08/01/2020,Cebolla,B/manga,870,BGA,3,0,0,7
08/01/2020,Cebolla,Bogotá,850,BOG,2,0,0,7
08/01/2020,Cebolla,Cali,972,CAL,4,0,0,7
08/01/2020,Cebolla,Manizales,1075,MAN,5,1,0,7
08/01/2020,Cebolla,Medellín,1212,MED,1,1,0,7
08/01/2020,Tomate,B/manga,1136,BGA,3,0,0,7
08/01/2020,Tomate,Bogotá,1477,BOG,2,0,0,7
08/01/2020,Tomate,Cali,1136,CAL,4,0,0,7
08/01/2020,Tomate,Manizales,1364,MAN,5,1,0,7
08/01/2020,Tomate,Medellín,1575,MED,1,1,0,7
09/01/2020,Cebolla,B/manga,780,BGA,3,0,0,8
09/01/2020,Cebolla,Bogotá,775,BOG,2,0,0,8
09/01/2020,Cebolla,Cali,913,CAL,4,0,0,8
09/01/2020,Cebolla,Manizales,1075,MAN,5,1,0,8
09/01/2020,Cebolla,Medellín,1212,MED,1,1,0,8
09/01/2020,Tomate,B/manga,1136,BGA,3,0,0,8
09/01/2020,Tomate,Bogotá,1727,BOG,2,0,0,8
09/01/2020,Tomate,Cali,1546,CAL,4,0,0,8
09/01/2020,Tomate,Manizales,1500,MAN,5,1,0,8
09/01/2020,Tomate,Medellín,1575,MED,1,1,0,8
10/01/2020,Cebolla,B/manga,750,BGA,3,0,0,9
10/01/2020,Cebolla,Bogotá,700,BOG,2,0,0,9
10/01/2020,Cebolla,Cali,913,CAL,4,0,0,9
10/01/2020,Cebolla,Manizales,1075,MAN,5,1,0,9
10/01/2020,Cebolla,Medellín,1212,MED,1,1,0,9
10/01/2020,Tomate,B/manga,1136,BGA,3,0,0,9
10/01/2020,Tomate,Bogotá,1795,BOG,2,0,0,9
10/01/2020,Tomate,Cali,1546,CAL,4,0,0,9
10/01/2020,Tomate,Manizales,1500,MAN,5,1,0,9
10/01/2020,Tomate,Medellín,1575,MED,1,1,0,9
11/01/2020,Cebolla,B/manga,750,BGA,3,0,0,10
11/01/2020,Cebolla,Bogotá,700,BOG,2,0,0,10
11/01/2020,Cebolla,Cali,816,CAL,4,0,0,10
11/01/2020,Cebolla,Manizales,1075,MAN,5,1,0,10
11/01/2020,Cebolla,Medellín,1212,MED,1,1,0,10
11/01/2020,Tomate,B/manga,1136,BGA,3,0,0,10
11/01/2020,Tomate,Bogotá,1795,BOG,2,0,0,10
11/01/2020,Tomate,Cali,2138,CAL,4,0,0,10
11/01/2020,Tomate,Manizales,1500,MAN,5,1,0,10
11/01/2020,Tomate,Medellín,1575,MED,1,1,0,10
12/01/2020,Cebolla,B/manga,750,BGA,3,0,0,11
12/01/2020,Cebolla,Bogotá,700,BOG,2,0,0,11
12/01/2020,Cebolla,Cali,816,CAL,4,0,0,11
12/01/2020,Cebolla,Manizales,1075,MAN,5,1,0,11
12/01/2020,Cebolla,Medellín,1212,MED,1,1,0,11
12/01/2020,Tomate,B/manga,1136,BGA,3,0,0,11
12/01/2020,Tomate,Bogotá,1795,BOG,2,0,0,11
12/01/2020,Tomate,Cali,2138,CAL,4,0,0,11
12/01/2020,Tomate,Manizales,1500,MAN,5,1,0,11
12/01/2020,Tomate,Medellín,1575,MED,1,1,0,11
13/01/2020,Cebolla,B/manga,750,BGA,3,0,0,12
13/01/2020,Cebolla,Bogotá,750,BOG,2,0,0,12
13/01/2020,Cebolla,Cali,816,CAL,4,0,0,12
13/01/2020,Cebolla,Manizales,925,MAN,5,1,0,12
13/01/2020,Cebolla,Medellín,1212,MED,1,1,0,12
13/01/2020,Tomate,B/manga,1136,BGA,3,0,0,12
13/01/2020,Tomate,Bogotá,1864,BOG,2,0,0,12
13/01/2020,Tomate,Cali,2138,CAL,4,0,0,12
13/01/2020,Tomate,Manizales,2250,MAN,5,1,0,12
13/01/2020,Tomate,Medellín,2513,MED,1,1,0,12
14/01/2020,Cebolla,B/manga,670,BGA,3,0,0,13
14/01/2020,Cebolla,Bogotá,650,BOG,2,0,0,13
14/01/2020,Cebolla,Cali,660,CAL,4,0,0,13
14/01/2020,Cebolla,Manizales,925,MAN,5,1,0,13
14/01/2020,Cebolla,Medellín,1104,MED,1,1,0,13
14/01/2020,Tomate,B/manga,1909,BGA,3,0,0,13
14/01/2020,Tomate,Bogotá,2000,BOG,2,0,0,13
14/01/2020,Tomate,Cali,1136,CAL,4,0,0,13
14/01/2020,Tomate,Manizales,2250,MAN,5,1,0,13
14/01/2020,Tomate,Medellín,2475,MED,1,1,0,13
15/01/2020,Cebolla,B/manga,670,BGA,3,0,0,14
15/01/2020,Cebolla,Bogotá,650,BOG,2,0,0,14
15/01/2020,Cebolla,Cali,660,CAL,4,0,0,14
15/01/2020,Cebolla,Manizales,925,MAN,5,1,0,14
15/01/2020,Cebolla,Medellín,1014,MED,1,1,0,14
15/01/2020,Tomate,B/manga,1909,BGA,3,0,0,14
15/01/2020,Tomate,Bogotá,2091,BOG,2,0,0,14
15/01/2020,Tomate,Cali,1136,CAL,4,0,0,14
15/01/2020,Tomate,Manizales,2250,MAN,5,1,0,14
15/01/2020,Tomate,Medellín,2475,MED,1,1,0,14
16/01/2020,Cebolla,B/manga,600,BGA,3,0,0,15
16/01/2020,Cebolla,Bogotá,650,BOG,2,0,0,15
16/01/2020,Cebolla,Cali,700,CAL,4,0,0,15
16/01/2020,Cebolla,Manizales,850,MAN,5,1,0,15
16/01/2020,Cebolla,Medellín,1022,MED,1,1,0,15
16/01/2020,Tomate,B/manga,1909,BGA,3,0,0,15
16/01/2020,Tomate,Bogotá,2091,BOG,2,0,0,15
16/01/2020,Tomate,Cali,2433,CAL,4,0,0,15
16/01/2020,Tomate,Manizales,2091,MAN,5,1,0,15
16/01/2020,Tomate,Medellín,2475,MED,1,1,0,15
17/01/2020,Cebolla,B/manga,600,BGA,3,0,0,16
17/01/2020,Cebolla,Bogotá,600,BOG,2,0,0,16
17/01/2020,Cebolla,Cali,700,CAL,4,0,0,16
17/01/2020,Cebolla,Manizales,850,MAN,5,1,0,16
17/01/2020,Cebolla,Medellín,1022,MED,1,1,0,16
17/01/2020,Tomate,B/manga,1909,BGA,3,0,0,16
17/01/2020,Tomate,Bogotá,2455,BOG,2,0,0,16
17/01/2020,Tomate,Cali,2433,CAL,4,0,0,16
17/01/2020,Tomate,Manizales,2091,MAN,5,1,0,16
17/01/2020,Tomate,Medellín,2075,MED,1,1,0,16
18/01/2020,Cebolla,B/manga,600,BGA,3,0,0,17
18/01/2020,Cebolla,Bogotá,600,BOG,2,0,0,17
18/01/2020,Cebolla,Cali,700,CAL,4,0,0,17
18/01/2020,Cebolla,Manizales,850,MAN,5,1,0,17
18/01/2020,Cebolla,Medellín,1022,MED,1,1,0,17
18/01/2020,Tomate,B/manga,1909,BGA,3,0,0,17
18/01/2020,Tomate,Bogotá,2455,BOG,2,0,0,17
18/01/2020,Tomate,Cali,2433,CAL,4,0,0,17
18/01/2020,Tomate,Manizales,2091,MAN,5,1,0,17
18/01/2020,Tomate,Medellín,2075,MED,1,1,0,17
19/01/2020,Cebolla,B/manga,600,BGA,3,0,0,18
19/01/2020,Cebolla,Bogotá,600,BOG,2,0,0,18
19/01/2020,Cebolla,Cali,700,CAL,4,0,0,18
19/01/2020,Cebolla,Manizales,850,MAN,5,1,0,18
19/01/2020,Cebolla,Medellín,1022,MED,1,1,0,18
19/01/2020,Tomate,B/manga,1909,BGA,3,0,0,18
19/01/2020,Tomate,Bogotá,2455,BOG,2,0,0,18
19/01/2020,Tomate,Cali,2433,CAL,4,0,0,18
19/01/2020,Tomate,Manizales,2091,MAN,5,1,0,18
19/01/2020,Tomate,Medellín,2075,MED,1,1,0,18
20/01/2020,Cebolla,B/manga,600,BGA,3,0,0,19
20/01/2020,Cebolla,Bogotá,590,BOG,2,0,0,19
20/01/2020,Cebolla,Cali,643,CAL,4,0,0,19
20/01/2020,Cebolla,Manizales,850,MAN,5,1,0,19
20/01/2020,Cebolla,Medellín,867,MED,1,1,0,19
20/01/2020,Tomate,B/manga,1909,BGA,3,0,0,19
20/01/2020,Tomate,Bogotá,2273,BOG,2,0,0,19
20/01/2020,Tomate,Cali,2050,CAL,4,0,0,19
20/01/2020,Tomate,Manizales,2167,MAN,5,1,0,19
20/01/2020,Tomate,Medellín,2475,MED,1,1,0,19
21/01/2020,Cebolla,B/manga,580,BGA,3,0,0,20
21/01/2020,Cebolla,Bogotá,600,BOG,2,0,0,20
21/01/2020,Cebolla,Cali,639,CAL,4,0,0,20
21/01/2020,Cebolla,Manizales,850,MAN,5,1,0,20
21/01/2020,Cebolla,Medellín,936,MED,1,1,0,20
21/01/2020,Tomate,B/manga,1591,BGA,3,0,0,20
21/01/2020,Tomate,Bogotá,2212,BOG,2,0,0,20
21/01/2020,Tomate,Cali,2050,CAL,4,0,0,20
21/01/2020,Tomate,Manizales,2167,MAN,5,1,0,20
21/01/2020,Tomate,Medellín,2475,MED,1,1,0,20
22/01/2020,Cebolla,B/manga,580,BGA,3,0,0,21
22/01/2020,Cebolla,Bogotá,700,BOG,2,0,0,21
22/01/2020,Cebolla,Cali,639,CAL,4,0,0,21
22/01/2020,Cebolla,Manizales,850,MAN,5,1,0,21
22/01/2020,Cebolla,Medellín,936,MED,1,1,0,21
22/01/2020,Tomate,B/manga,1591,BGA,3,0,0,21
22/01/2020,Tomate,Bogotá,2045,BOG,2,0,0,21
22/01/2020,Tomate,Cali,2050,CAL,4,0,0,21
22/01/2020,Tomate,Manizales,2167,MAN,5,1,0,21
22/01/2020,Tomate,Medellín,2475,MED,1,1,0,21
23/01/2020,Cebolla,B/manga,680,BGA,3,0,0,22
23/01/2020,Cebolla,Bogotá,700,BOG,2,0,0,22
23/01/2020,Cebolla,Cali,608,CAL,4,0,0,22
23/01/2020,Cebolla,Manizales,950,MAN,5,1,0,22
23/01/2020,Cebolla,Medellín,936,MED,1,1,0,22
23/01/2020,Tomate,B/manga,1659,BGA,3,0,0,22
23/01/2020,Tomate,Bogotá,2136,BOG,2,0,0,22
23/01/2020,Tomate,Cali,2383,CAL,4,0,0,22
23/01/2020,Tomate,Manizales,2080,MAN,5,1,0,22
23/01/2020,Tomate,Medellín,2050,MED,1,1,0,22
24/01/2020,Cebolla,B/manga,680,BGA,3,0,0,23
24/01/2020,Cebolla,Bogotá,700,BOG,2,0,0,23
24/01/2020,Cebolla,Cali,608,CAL,4,0,0,23
24/01/2020,Cebolla,Manizales,950,MAN,5,1,0,23
24/01/2020,Cebolla,Medellín,936,MED,1,1,0,23
24/01/2020,Tomate,B/manga,1773,BGA,3,0,0,23
24/01/2020,Tomate,Bogotá,2455,BOG,2,0,0,23
24/01/2020,Tomate,Cali,2383,CAL,4,0,0,23
24/01/2020,Tomate,Manizales,2080,MAN,5,1,0,23
24/01/2020,Tomate,Medellín,2363,MED,1,1,0,23
25/01/2020,Cebolla,B/manga,680,BGA,3,0,0,24
25/01/2020,Cebolla,Cali,608,CAL,4,0,0,24
25/01/2020,Tomate,B/manga,1773,BGA,3,0,0,24
25/01/2020,Tomate,Cali,2383,CAL,4,0,0,24
25/01/2020,Cebolla,Bogotá,700,BOG,2,0,0,24
25/01/2020,Cebolla,Manizales,950,MAN,5,1,0,24
25/01/2020,Cebolla,Medellín,936,MED,1,1,0,24
25/01/2020,Tomate,Bogotá,2455,BOG,2,0,0,24
25/01/2020,Tomate,Manizales,2080,MAN,5,1,0,24
25/01/2020,Tomate,Medellín,2363,MED,1,1,0,24
26/01/2020,Cebolla,B/manga,680,BGA,3,0,0,25
26/01/2020,Cebolla,Cali,608,CAL,4,0,0,25
26/01/2020,Tomate,B/manga,1773,BGA,3,0,0,25
26/01/2020,Tomate,Cali,2383,CAL,4,0,0,25
26/01/2020,Cebolla,Bogotá,700,BOG,2,0,0,25
26/01/2020,Cebolla,Manizales,950,MAN,5,1,0,25
26/01/2020,Cebolla,Medellín,936,MED,1,1,0,25
26/01/2020,Tomate,Bogotá,2455,BOG,2,0,0,25
26/01/2020,Tomate,Manizales,2080,MAN,5,1,0,25
26/01/2020,Tomate,Medellín,2363,MED,1,1,0,25
27/01/2020,Cebolla,B/manga,680,BGA,3,0,0,26
27/01/2020,Cebolla,Bogotá,650,BOG,2,0,0,26
27/01/2020,Cebolla,Cali,637,CAL,4,0,0,26
27/01/2020,Cebolla,Manizales,775,MAN,5,1,0,26
27/01/2020,Cebolla,Medellín,936,MED,1,1,0,26
27/01/2020,Tomate,B/manga,1773,BGA,3,0,0,26
27/01/2020,Tomate,Bogotá,2318,BOG,2,0,0,26
27/01/2020,Tomate,Cali,1500,CAL,4,0,0,26
27/01/2020,Tomate,Manizales,1818,MAN,5,1,0,26
27/01/2020,Tomate,Medellín,2100,MED,1,1,0,26
28/01/2020,Cebolla,B/manga,650,BGA,3,0,0,27
28/01/2020,Cebolla,Bogotá,700,BOG,2,0,0,27
28/01/2020,Cebolla,Cali,708,CAL,4,0,0,27
28/01/2020,Cebolla,Manizales,775,MAN,5,1,0,27
28/01/2020,Cebolla,Medellín,837,MED,1,1,0,27
28/01/2020,Tomate,B/manga,1659,BGA,3,0,0,27
28/01/2020,Tomate,Bogotá,2324,BOG,2,0,0,27
28/01/2020,Tomate,Cali,1500,CAL,4,0,0,27
28/01/2020,Tomate,Manizales,1818,MAN,5,1,0,27
28/01/2020,Tomate,Medellín,2100,MED,1,1,0,27
29/01/2020,Cebolla,B/manga,650,BGA,3,0,0,28
29/01/2020,Cebolla,Bogotá,700,BOG,2,0,0,28
29/01/2020,Cebolla,Cali,708,CAL,4,0,0,28
29/01/2020,Cebolla,Manizales,775,MAN,5,1,0,28
29/01/2020,Cebolla,Medellín,837,MED,1,1,0,28
29/01/2020,Tomate,B/manga,1659,BGA,3,0,0,28
29/01/2020,Tomate,Bogotá,2250,BOG,2,0,0,28
29/01/2020,Tomate,Cali,1500,CAL,4,0,0,28
29/01/2020,Tomate,Manizales,1818,MAN,5,1,0,28
29/01/2020,Tomate,Medellín,2100,MED,1,1,0,28
30/01/2020,Cebolla,B/manga,600,BGA,3,0,0,29
30/01/2020,Cebolla,Bogotá,650,BOG,2,0,0,29
30/01/2020,Cebolla,Cali,649,CAL,4,0,0,29
30/01/2020,Cebolla,Manizales,900,MAN,5,1,0,29
30/01/2020,Cebolla,Medellín,837,MED,1,1,0,29
30/01/2020,Tomate,B/manga,1705,BGA,3,0,0,29
30/01/2020,Tomate,Bogotá,2273,BOG,2,0,0,29
30/01/2020,Tomate,Cali,2463,CAL,4,0,0,29
30/01/2020,Tomate,Manizales,1761,MAN,5,1,0,29
30/01/2020,Tomate,Medellín,2475,MED,1,1,0,29
31/01/2020,Cebolla,B/manga,600,BGA,3,0,0,30
31/01/2020,Cebolla,Bogotá,600,BOG,2,0,0,30
31/01/2020,Cebolla,Cali,649,CAL,4,0,0,30
31/01/2020,Cebolla,Manizales,900,MAN,5,1,0,30
31/01/2020,Cebolla,Medellín,837,MED,1,1,0,30
31/01/2020,Tomate,B/manga,1898,BGA,3,0,0,30
31/01/2020,Tomate,Bogotá,2273,BOG,2,0,0,30
31/01/2020,Tomate,Cali,2463,CAL,4,0,0,30
31/01/2020,Tomate,Manizales,1761,MAN,5,1,0,30
31/01/2020,Tomate,Medellín,2950,MED,1,1,0,30
01/02/2020,Cebolla,B/manga,600,BGA,3,0,0,31
01/02/2020,Cebolla,Bogotá,600,BOG,2,0,0,31
01/02/2020,Cebolla,Cali,649,CAL,4,0,0,31
01/02/2020,Cebolla,Manizales,900,MAN,5,1,0,31
01/02/2020,Cebolla,Medellín,837,MED,1,1,0,31
01/02/2020,Tomate,B/manga,1898,BGA,3,0,0,31
01/02/2020,Tomate,Bogotá,2273,BOG,2,0,0,31
01/02/2020,Tomate,Cali,2463,CAL,4,0,0,31
01/02/2020,Tomate,Manizales,1761,MAN,5,1,0,31
01/02/2020,Tomate,Medellín,2950,MED,1,1,0,31
02/02/2020,Cebolla,B/manga,600,BGA,3,0,0,32
02/02/2020,Cebolla,Bogotá,600,BOG,2,0,0,32
02/02/2020,Cebolla,Cali,649,CAL,4,0,0,32
02/02/2020,Cebolla,Manizales,900,MAN,5,1,0,32
02/02/2020,Cebolla,Medellín,837,MED,1,1,0,32
02/02/2020,Tomate,B/manga,1898,BGA,3,0,0,32
02/02/2020,Tomate,Bogotá,2273,BOG,2,0,0,32
02/02/2020,Tomate,Cali,2463,CAL,4,0,0,32
02/02/2020,Tomate,Manizales,1761,MAN,5,1,0,32
02/02/2020,Tomate,Medellín,2950,MED,1,1,0,32
03/02/2020,Cebolla,B/manga,600,BGA,3,0,0,33
03/02/2020,Cebolla,Bogotá,600,BOG,2,0,0,33
03/02/2020,Cebolla,Cali,625,CAL,4,0,0,33
03/02/2020,Cebolla,Manizales,850,MAN,5,1,0,33
03/02/2020,Cebolla,Medellín,958,MED,1,1,0,33
03/02/2020,Tomate,B/manga,1898,BGA,3,0,0,33
03/02/2020,Tomate,Bogotá,2227,BOG,2,0,0,33
03/02/2020,Tomate,Cali,2475,CAL,4,0,0,33
03/02/2020,Tomate,Manizales,3000,MAN,5,1,0,33
03/02/2020,Tomate,Medellín,2455,MED,1,1,0,33
04/02/2020,Cebolla,B/manga,620,BGA,3,0,0,34
04/02/2020,Cebolla,Bogotá,600,BOG,2,0,0,34
04/02/2020,Cebolla,Cali,563,CAL,4,0,0,34
04/02/2020,Cebolla,Manizales,850,MAN,5,1,0,34
04/02/2020,Cebolla,Medellín,952,MED,1,1,0,34
04/02/2020,Tomate,B/manga,2193,BGA,3,0,0,34
04/02/2020,Tomate,Bogotá,2273,BOG,2,0,0,34
04/02/2020,Tomate,Cali,2475,CAL,4,0,0,34
04/02/2020,Tomate,Manizales,3000,MAN,5,1,0,34
04/02/2020,Tomate,Medellín,2850,MED,1,1,0,34
05/02/2020,Cebolla,B/manga,620,BGA,3,0,0,35
05/02/2020,Cebolla,Bogotá,600,BOG,2,0,0,35
05/02/2020,Cebolla,Cali,563,CAL,4,0,0,35
05/02/2020,Cebolla,Manizales,850,MAN,5,1,0,35
05/02/2020,Cebolla,Medellín,971,MED,1,1,0,35
05/02/2020,Tomate,B/manga,2193,BGA,3,0,0,35
05/02/2020,Tomate,Bogotá,2273,BOG,2,0,0,35
05/02/2020,Tomate,Cali,2475,CAL,4,0,0,35
05/02/2020,Tomate,Manizales,3000,MAN,5,1,0,35
05/02/2020,Tomate,Medellín,2850,MED,1,1,0,35
06/02/2020,Cebolla,B/manga,640,BGA,3,0,0,36
06/02/2020,Cebolla,Bogotá,600,BOG,2,0,0,36
06/02/2020,Cebolla,Cali,632,CAL,4,0,0,36
06/02/2020,Cebolla,Manizales,850,MAN,5,1,0,36
06/02/2020,Cebolla,Medellín,965,MED,1,1,0,36
06/02/2020,Tomate,B/manga,2216,BGA,3,0,0,36
06/02/2020,Tomate,Bogotá,2318,BOG,2,0,0,36
06/02/2020,Tomate,Cali,2683,CAL,4,0,0,36
06/02/2020,Tomate,Manizales,2364,MAN,5,1,0,36
06/02/2020,Tomate,Medellín,2900,MED,1,1,0,36
07/02/2020,Cebolla,B/manga,630,BGA,3,0,0,37
07/02/2020,Cebolla,Bogotá,600,BOG,2,0,0,37
07/02/2020,Cebolla,Cali,632,CAL,4,0,0,37
07/02/2020,Cebolla,Manizales,850,MAN,5,1,0,37
07/02/2020,Cebolla,Medellín,952,MED,1,1,0,37
07/02/2020,Tomate,B/manga,2216,BGA,3,0,0,37
07/02/2020,Tomate,Bogotá,2273,BOG,2,0,0,37
07/02/2020,Tomate,Cali,2683,CAL,4,0,0,37
07/02/2020,Tomate,Manizales,2364,MAN,5,1,0,37
07/02/2020,Tomate,Medellín,2600,MED,1,1,0,37
08/02/2020,Cebolla,B/manga,630,BGA,3,0,0,38
08/02/2020,Cebolla,Bogotá,600,BOG,2,0,0,38
08/02/2020,Cebolla,Cali,632,CAL,4,0,0,38
08/02/2020,Cebolla,Manizales,850,MAN,5,1,0,38
08/02/2020,Cebolla,Medellín,952,MED,1,1,0,38
08/02/2020,Tomate,B/manga,2216,BGA,3,0,0,38
08/02/2020,Tomate,Bogotá,2273,BOG,2,0,0,38
08/02/2020,Tomate,Cali,2683,CAL,4,0,0,38
08/02/2020,Tomate,Manizales,2364,MAN,5,1,0,38
08/02/2020,Tomate,Medellín,2600,MED,1,1,0,38
09/02/2020,Cebolla,B/manga,630,BGA,3,0,0,39
09/02/2020,Cebolla,Bogotá,600,BOG,2,0,0,39
09/02/2020,Cebolla,Cali,632,CAL,4,0,0,39
09/02/2020,Cebolla,Manizales,850,MAN,5,1,0,39
09/02/2020,Cebolla,Medellín,952,MED,1,1,0,39
09/02/2020,Tomate,B/manga,2216,BGA,3,0,0,39
09/02/2020,Tomate,Bogotá,2273,BOG,2,0,0,39
09/02/2020,Tomate,Cali,2683,CAL,4,0,0,39
09/02/2020,Tomate,Manizales,2364,MAN,5,1,0,39
09/02/2020,Tomate,Medellín,2600,MED,1,1,0,39
10/02/2020,Cebolla,B/manga,630,BGA,3,0,0,40
10/02/2020,Cebolla,Bogotá,650,BOG,2,0,0,40
